0	4.4942	1.7047	1.2381	5.6792	1.1779	5.8517	1.3137	1.1560	1.0378	1.2041
1	4.4383	1.6761	1.8945	8.1559	1.9300	8.2604	1.9045	1.8198	2.2399	1.7560
2	4.3585	1.6725	1.8794	8.6072	2.4065	11.5288	2.3257	2.7858	2.6403	1.8744
3	4.2896	1.6186	2.9136	12.5605	2.9094	13.0600	2.9184	2.4890	2.9021	3.3282
4	4.2228	1.5837	3.9832	16.0473	3.9514	16.1552	4.2628	3.8133	3.5197	4.2098
5	4.1842	1.5701	4.1535	18.1231	4.0593	17.8126	4.3686	4.2168	3.8950	3.7567
6	4.1642	1.5516	4.6290	19.4958	4.4493	19.2275	4.0923	4.3978	4.4936	4.8135
7	4.0939	1.5321	5.7384	20.8574	5.3601	20.1348	4.9174	5.6141	5.1768	5.7320
8	4.0655	1.5192	5.8315	22.4249	5.5193	21.2489	5.4331	5.4470	5.3536	5.8435
9	4.0547	1.5278	5.4369	21.3795	5.5097	21.1403	5.3518	5.5209	5.6573	5.5089
10	4.0099	1.4964	6.8387	23.3401	6.0617	22.3292	5.5621	5.8618	6.1584	6.6647
11	4.0391	1.5199	6.1094	22.4943	6.0356	22.5932	5.6034	6.2158	6.3098	6.0135
12	3.9554	1.5038	6.5152	23.9124	6.4510	23.7157	6.5376	6.4530	6.4660	6.3474
13	3.9440	1.4682	7.6616	26.4703	6.7587	24.8556	6.2849	6.6580	6.7452	7.3467
14	3.8756	1.4540	8.4027	27.8473	7.4494	26.0049	7.0892	7.2795	7.5470	7.8818
15	3.8618	1.4413	8.7141	29.3059	7.6391	26.6300	7.0203	7.5921	7.5760	8.3679
16	3.8921	1.4480	8.5480	28.9872	7.7788	26.8554	7.3772	7.5300	8.0702	8.1377
17	3.8516	1.4595	8.4125	28.2565	8.0532	27.8585	7.5027	8.3110	8.2073	8.1917
18	3.8111	1.4074	10.1187	32.1626	8.5994	29.3163	7.8453	8.7333	8.2347	9.5841
19	3.7567	1.3985	10.7886	32.4017	9.3158	30.1673	8.5536	8.9007	9.6159	10.1933
20	3.6734	1.3741	11.9623	34.8973	9.6220	30.4258	8.6597	8.6043	9.7110	11.5132
21	3.7188	1.3835	11.5410	34.5435	9.6696	30.7523	7.5584	9.6752	10.2567	11.1882
22	3.7529	1.3857	11.4452	34.3804	9.5833	31.1645	7.4673	9.6924	10.3292	10.8443
23	3.6555	1.3578	12.9311	36.6218	10.6173	32.5226	8.2567	10.1703	11.2991	12.7430
24	3.6056	1.3486	12.8437	37.4352	10.7578	33.6267	8.7094	10.0340	11.3759	12.9118
25	3.7272	1.3887	11.9295	35.0449	11.0473	33.2214	9.5899	10.9143	11.7341	11.9509
26	3.5973	1.3597	13.1045	37.2052	11.7231	34.8164	10.3485	11.2536	12.2921	12.9981
27	3.5800	1.3440	13.9113	38.4563	12.6024	36.0137	11.4858	12.0844	13.4490	13.3903
28	3.5448	1.3112	14.9037	40.2283	12.9422	37.0802	11.2397	12.3421	13.8224	14.3645
29	3.4162	1.2891	16.0767	42.0262	13.5947	37.9627	11.7994	12.8396	14.1367	15.6031
30	3.6215	1.3037	15.1545	41.3815	13.1679	37.8142	11.9810	12.1250	13.4675	15.0982
31	3.4904	1.2978	15.7517	41.9378	13.9715	39.2518	13.0592	12.7755	14.7128	15.3384
32	3.3793	1.2717	16.6991	43.8351	14.9293	40.6946	12.9105	14.1206	16.0440	16.6422
33	3.4320	1.2669	17.1047	43.9757	15.1688	40.9048	12.5326	14.6389	16.2905	17.2132
34	3.3330	1.2426	18.4787	45.5068	15.7960	41.6234	13.5038	15.1113	16.2300	18.3388
35	3.4329	1.2653	17.5080	44.8677	15.3494	41.7853	13.2479	14.7112	15.9257	17.5129
36	3.4277	1.2761	17.1042	44.2394	15.7993	41.7582	14.6055	15.7282	16.0078	16.8557
37	3.3504	1.2455	18.1707	45.6630	16.5435	43.0870	14.6666	16.7832	16.9864	17.7378
38	3.2494	1.2236	19.4893	47.5805	17.1338	44.0724	15.2699	17.0515	17.6117	18.6022
39	3.2583	1.2105	19.8852	48.1713	17.8344	44.4844	15.6980	16.9914	18.9179	19.7303
40	3.2311	1.2577	18.8350	46.4078	17.8415	45.0019	15.8853	17.7648	19.1178	18.5979
41	3.2191	1.2136	20.0312	48.2171	18.1152	45.3023	16.2342	17.7198	18.5248	19.9820
42	3.0672	1.1744	21.8699	50.8978	19.5014	46.9798	17.0542	19.4183	20.1334	21.3995
43	3.1249	1.1837	21.4662	50.7865	19.3206	47.1738	18.2118	18.5421	19.3727	21.1559
